"","year","Country","sex","age","rate","mean_climate"
"92",1985,"France","female","15-24 years",4.67,12.628
"93",1985,"France","female","25-34 years",10.6,12.628
"94",1985,"France","female","35-54 years",16,12.628
"95",1985,"France","female","75+ years",27.5,12.628
"96",1985,"France","female","55-74 years",23.2,12.628
"97",1985,"Greece","female","75+ years",4.72,15.218
"98",1985,"Greece","female","25-34 years",2.65,15.218
"99",1985,"Greece","female","5-14 years",0,15.218
"100",1985,"Greece","female","55-74 years",4.7,15.218
"101",1985,"Greece","female","15-24 years",1.8,15.218
"102",1985,"Greece","female","35-54 years",2.64,15.218
"103",1985,"Grenada","female","25-34 years",0,26.7428333333333
"104",1985,"Grenada","female","75+ years",0,26.7428333333333
"105",1985,"Grenada","female","5-14 years",0,26.7428333333333
"106",1985,"Grenada","female","55-74 years",0,26.7428333333333
"107",1985,"Grenada","female","15-24 years",0,26.7428333333333
"108",1985,"Grenada","female","35-54 years",0,26.7428333333333
"109",1985,"Iceland","female","15-24 years",0,1.41008333333333
"110",1985,"Iceland","female","5-14 years",0,1.41008333333333
"111",1985,"Iceland","female","55-74 years",22.9,1.41008333333333
"112",1985,"Iceland","female","25-34 years",0,1.41008333333333
"113",1985,"Iceland","female","35-54 years",12,1.41008333333333
"114",1985,"Iceland","female","75+ years",0,1.41008333333333
"115",1985,"Ireland","female","25-34 years",4.43,9.11066666666667
"116",1985,"Ireland","female","55-74 years",7.66,9.11066666666667
"117",1985,"Ireland","female","75+ years",1.16,9.11066666666667
"118",1985,"Ireland","female","35-54 years",6.8,9.11066666666667
"119",1985,"Ireland","female","15-24 years",0.988,9.11066666666667
"120",1985,"Ireland","female","5-14 years",0,9.11066666666667
"121",1985,"Israel","female","15-24 years",2.02,20.2161666666667
"122",1985,"Israel","female","25-34 years",3.39,20.2161666666667
"123",1985,"Israel","female","75+ years",13.2,20.2161666666667
"124",1985,"Israel","female","35-54 years",4.6,20.2161666666667
"125",1985,"Israel","female","5-14 years",0,20.2161666666667
"126",1985,"Israel","female","55-74 years",9.63,20.2161666666667
"127",1985,"Italy","female","55-74 years",9.93,13.0583333333333
"128",1985,"Italy","female","75+ years",12.2,13.0583333333333
"129",1985,"Italy","female","5-14 years",0.128,13.0583333333333
"130",1985,"Italy","female","25-34 years",2.69,13.0583333333333
"131",1985,"Italy","female","15-24 years",1.3,13.0583333333333
"132",1985,"Italy","female","35-54 years",5.11,13.0583333333333
"133",1985,"Jamaica","female","75+ years",2.63,26.2378333333333
"134",1985,"Jamaica","female","25-34 years",0,26.2378333333333
"135",1985,"Jamaica","female","55-74 years",0,26.2378333333333
"136",1985,"Jamaica","female","15-24 years",0,26.2378333333333
"137",1985,"Jamaica","female","35-54 years",0.568,26.2378333333333
"138",1985,"Jamaica","female","5-14 years",0,26.2378333333333
"139",1985,"Japan","female","55-74 years",23.1,12.2813333333333
"140",1985,"Japan","female","35-54 years",14.4,12.2813333333333
"141",1985,"Japan","female","75+ years",54.3,12.2813333333333
"142",1985,"Japan","female","5-14 years",0.288,12.2813333333333
"143",1985,"Japan","female","15-24 years",5.87,12.2813333333333
"144",1985,"Japan","female","25-34 years",9.82,12.2813333333333
"145",1985,"Kuwait","female","25-34 years",1.47,25.3580833333333
"146",1985,"Kuwait","female","75+ years",0,25.3580833333333
"147",1985,"Kuwait","female","55-74 years",0,25.3580833333333
"148",1985,"Kuwait","female","15-24 years",0,25.3580833333333
"149",1985,"Kuwait","female","5-14 years",0,25.3580833333333
"150",1985,"Kuwait","female","35-54 years",0.82,25.3580833333333
"151",1985,"Luxembourg","female","35-54 years",10.4,8.532
"152",1985,"Luxembourg","female","25-34 years",20.1,8.532
"153",1985,"Luxembourg","female","75+ years",29.6,8.532
"154",1985,"Luxembourg","female","15-24 years",3.6,8.532
"155",1985,"Luxembourg","female","55-74 years",0,8.532
"156",1985,"Luxembourg","female","5-14 years",0,8.532
"157",1985,"Malta","female","55-74 years",0,18.9678333333333
"158",1985,"Malta","female","5-14 years",0,18.9678333333333
"159",1985,"Malta","female","25-34 years",0,18.9678333333333
"160",1985,"Malta","female","15-24 years",0,18.9678333333333
"161",1985,"Malta","female","75+ years",0,18.9678333333333
"162",1985,"Malta","female","35-54 years",0,18.9678333333333
"163",1985,"Mauritius","female","55-74 years",8.35,23.6494166666667
"164",1985,"Mauritius","female","25-34 years",6.88,23.6494166666667
"165",1985,"Mauritius","female","15-24 years",16.9,23.6494166666667
"166",1985,"Mauritius","female","5-14 years",0,23.6494166666667
"167",1985,"Mauritius","female","75+ years",22.7,23.6494166666667
"168",1985,"Mauritius","female","35-54 years",6.63,23.6494166666667
"169",1985,"Mexico","female","75+ years",1.24,20.6039166666667
"170",1985,"Mexico","female","5-14 years",0.188,20.6039166666667
"171",1985,"Mexico","female","35-54 years",0.902,20.6039166666667
"172",1985,"Mexico","female","15-24 years",1.3,20.6039166666667
"173",1985,"Mexico","female","25-34 years",1.08,20.6039166666667
"174",1985,"Mexico","female","55-74 years",0.566,20.6039166666667
"175",1985,"Netherlands","female","55-74 years",15,8.828
"176",1985,"Netherlands","female","75+ years",10.8,8.828
"177",1985,"Netherlands","female","25-34 years",9.25,8.828
"178",1985,"Netherlands","female","5-14 years",0.21,8.828
"179",1985,"Netherlands","female","15-24 years",3.1,8.828
"180",1985,"Netherlands","female","35-54 years",11,8.828
"181",1985,"New Zealand","female","55-74 years",10,11.0305
"182",1985,"New Zealand","female","25-34 years",5.02,11.0305
"183",1985,"New Zealand","female","5-14 years",1.1,11.0305
"184",1985,"New Zealand","female","35-54 years",6.03,11.0305
"185",1985,"New Zealand","female","75+ years",4.91,11.0305
"186",1985,"New Zealand","female","15-24 years",5.14,11.0305
"187",1985,"Panama","female","25-34 years",1.87,26.4161666666667
"188",1985,"Panama","female","55-74 years",3.61,26.4161666666667
"189",1985,"Panama","female","15-24 years",1.75,26.4161666666667
"190",1985,"Panama","female","75+ years",0,26.4161666666667
"191",1985,"Panama","female","35-54 years",0.549,26.4161666666667
"192",1985,"Panama","female","5-14 years",0.38,26.4161666666667
"193",1985,"Paraguay","female","25-34 years",2.32,24.0139166666667
"194",1985,"Paraguay","female","15-24 years",2.48,24.0139166666667
"195",1985,"Paraguay","female","75+ years",0,24.0139166666667
"196",1985,"Paraguay","female","5-14 years",1.09,24.0139166666667
"197",1985,"Paraguay","female","55-74 years",2.86,24.0139166666667
"198",1985,"Paraguay","female","35-54 years",1.08,24.0139166666667
"199",1985,"Portugal","female","55-74 years",9.97,15.1544166666667
"200",1985,"Portugal","female","25-34 years",4.35,15.1544166666667
"201",1985,"Portugal","female","15-24 years",4.93,15.1544166666667
"202",1985,"Portugal","female","75+ years",13.5,15.1544166666667
"203",1985,"Portugal","female","35-54 years",6.33,15.1544166666667
"204",1985,"Portugal","female","5-14 years",0.492,15.1544166666667
"205",1985,"Puerto Rico","female","55-74 years",5.12,25.5870833333333
"206",1985,"Puerto Rico","female","25-34 years",2.99,25.5870833333333
"207",1985,"Puerto Rico","female","75+ years",7.42,25.5870833333333
"208",1985,"Puerto Rico","female","35-54 years",2.21,25.5870833333333
"209",1985,"Puerto Rico","female","15-24 years",0.892,25.5870833333333
"210",1985,"Puerto Rico","female","5-14 years",0.283,25.5870833333333
"211",1985,"Seychelles","female","55-74 years",0,26.7415833333333
"212",1985,"Seychelles","female","75+ years",0,26.7415833333333
"213",1985,"Seychelles","female","5-14 years",0,26.7415833333333
"214",1985,"Seychelles","female","35-54 years",0,26.7415833333333
"215",1985,"Seychelles","female","15-24 years",13.3,26.7415833333333
"216",1985,"Seychelles","female","25-34 years",0,26.7415833333333
"217",1985,"Singapore","female","35-54 years",9.47,26.8200833333333
"218",1985,"Singapore","female","55-74 years",20,26.8200833333333
"219",1985,"Singapore","female","15-24 years",9.87,26.8200833333333
"220",1985,"Singapore","female","5-14 years",1.5,26.8200833333333
"221",1985,"Singapore","female","75+ years",77.6,26.8200833333333
"222",1985,"Singapore","female","25-34 years",13.1,26.8200833333333
"223",1985,"Spain","female","5-14 years",0.0322,14.1318333333333
"224",1985,"Spain","female","35-54 years",3.83,14.1318333333333
"225",1985,"Spain","female","15-24 years",1.35,14.1318333333333
"226",1985,"Spain","female","75+ years",11.2,14.1318333333333
"227",1985,"Spain","female","55-74 years",7.52,14.1318333333333
"228",1985,"Spain","female","25-34 years",2.2,14.1318333333333
"229",1985,"Sri Lanka","female","55-74 years",13.3,27.3501666666667
"230",1985,"Sri Lanka","female","15-24 years",57.1,27.3501666666667
"231",1985,"Sri Lanka","female","35-54 years",14.5,27.3501666666667
"232",1985,"Sri Lanka","female","25-34 years",33.6,27.3501666666667
"233",1985,"Sri Lanka","female","75+ years",21.7,27.3501666666667
"234",1985,"Sri Lanka","female","5-14 years",3.11,27.3501666666667
"235",1985,"Suriname","female","35-54 years",31,26.1995
"236",1985,"Suriname","female","25-34 years",0,26.1995
"237",1985,"Suriname","female","75+ years",47.6,26.1995
"238",1985,"Suriname","female","5-14 years",1.91,26.1995
"239",1985,"Suriname","female","55-74 years",33.3,26.1995
"240",1985,"Suriname","female","15-24 years",13.6,26.1995
"241",1985,"Thailand","female","15-24 years",10.7,26.2655
"242",1985,"Thailand","female","5-14 years",0.755,26.2655
"243",1985,"Thailand","female","35-54 years",4.79,26.2655
"244",1985,"Thailand","female","75+ years",4.01,26.2655
"245",1985,"Thailand","female","25-34 years",6,26.2655
"246",1985,"Thailand","female","55-74 years",4.57,26.2655
"247",1985,"United Kingdom","female","5-14 years",0.0565,8.17325
"248",1985,"United Kingdom","female","25-34 years",4.51,8.17325
"249",1985,"United Kingdom","female","15-24 years",1.89,8.17325
"250",1985,"United Kingdom","female","35-54 years",7.34,8.17325
"251",1985,"United Kingdom","female","75+ years",9.8,8.17325
"252",1985,"United Kingdom","female","55-74 years",11.3,8.17325
"253",1985,"United States","female","15-24 years",4.36,8.587
"254",1985,"United States","female","5-14 years",0.441,8.587
"255",1985,"United States","female","25-34 years",5.9,8.587
"256",1985,"United States","female","35-54 years",7.58,8.587
"257",1985,"United States","female","55-74 years",7.34,8.587
"258",1985,"United States","female","75+ years",6.24,8.587
"259",1985,"Uruguay","female","55-74 years",7.77,18.0080833333333
"260",1985,"Uruguay","female","75+ years",5.49,18.0080833333333
"261",1985,"Uruguay","female","35-54 years",4.61,18.0080833333333
"262",1985,"Uruguay","female","15-24 years",2.08,18.0080833333333
"263",1985,"Uruguay","female","25-34 years",1.48,18.0080833333333
"264",1985,"Uruguay","female","5-14 years",0.76,18.0080833333333
"265",1986,"Argentina","female","35-54 years",5.57,15.33475
"266",1986,"Argentina","female","5-14 years",0.236,15.33475
"267",1986,"Argentina","female","25-34 years",4.37,15.33475
"268",1986,"Argentina","female","75+ years",8.89,15.33475
"269",1986,"Argentina","female","55-74 years",8.67,15.33475
"270",1986,"Argentina","female","15-24 years",4.27,15.33475
"271",1986,"Australia","female","5-14 years",0.0824,22.09325
"272",1986,"Australia","female","35-54 years",8.95,22.09325
"273",1986,"Australia","female","55-74 years",8.04,22.09325
"274",1986,"Australia","female","75+ years",5.68,22.09325
"275",1986,"Australia","female","25-34 years",6.77,22.09325
"276",1986,"Australia","female","15-24 years",5.86,22.09325
"277",1986,"Austria","female","15-24 years",9.59,6.31691666666667
"278",1986,"Austria","female","35-54 years",19.3,6.31691666666667
"279",1986,"Austria","female","5-14 years",0.225,6.31691666666667
"280",1986,"Austria","female","55-74 years",23.3,6.31691666666667
"281",1986,"Austria","female","25-34 years",14.3,6.31691666666667
"282",1986,"Austria","female","75+ years",31.8,6.31691666666667
"283",1986,"Barbados","female","35-54 years",0,26.6595833333333
"284",1986,"Barbados","female","5-14 years",0,26.6595833333333
"285",1986,"Barbados","female","25-34 years",4.55,26.6595833333333
"286",1986,"Barbados","female","55-74 years",0,26.6595833333333
"287",1986,"Barbados","female","75+ years",0,26.6595833333333
"288",1986,"Barbados","female","15-24 years",0,26.6595833333333
"289",1986,"Belgium","female","55-74 years",24.5,9.264
"290",1986,"Belgium","female","25-34 years",10.1,9.264
"291",1986,"Belgium","female","75+ years",21.4,9.264
"292",1986,"Belgium","female","5-14 years",0.166,9.264
"293",1986,"Belgium","female","15-24 years",5.49,9.264
"294",1986,"Belgium","female","35-54 years",20.6,9.264
"295",1986,"Belize","female","25-34 years",0,25.3823333333333
"296",1986,"Belize","female","5-14 years",0,25.3823333333333
"297",1986,"Belize","female","55-74 years",0,25.3823333333333
"298",1986,"Belize","female","35-54 years",0,25.3823333333333
"299",1986,"Belize","female","75+ years",0,25.3823333333333
"300",1986,"Belize","female","15-24 years",5.62,25.3823333333333
"301",1986,"Brazil","female","35-54 years",2.54,25.131
"302",1986,"Brazil","female","75+ years",3.06,25.131
"303",1986,"Brazil","female","5-14 years",0.219,25.131
"304",1986,"Brazil","female","25-34 years",2.42,25.131
"305",1986,"Brazil","female","55-74 years",2.67,25.131
"306",1986,"Brazil","female","15-24 years",2.45,25.131
"307",1986,"Bulgaria","female","75+ years",43,10.6978333333333
"308",1986,"Bulgaria","female","35-54 years",7.49,10.6978333333333
"309",1986,"Bulgaria","female","15-24 years",6.6,10.6978333333333
"310",1986,"Bulgaria","female","5-14 years",0.474,10.6978333333333
"311",1986,"Bulgaria","female","55-74 years",19.3,10.6978333333333
"312",1986,"Bulgaria","female","25-34 years",3.23,10.6978333333333
"313",1986,"Canada","female","25-34 years",7.55,-4.84391666666667
"314",1986,"Canada","female","35-54 years",9.94,-4.84391666666667
"315",1986,"Canada","female","5-14 years",0.287,-4.84391666666667
"316",1986,"Canada","female","15-24 years",5.29,-4.84391666666667
"317",1986,"Canada","female","75+ years",5.51,-4.84391666666667
"318",1986,"Canada","female","55-74 years",9.03,-4.84391666666667
"319",1986,"Chile","female","55-74 years",2.28,9.8375
"320",1986,"Chile","female","5-14 years",0.339,9.8375
"321",1986,"Chile","female","75+ years",2.03,9.8375
"322",1986,"Chile","female","25-34 years",2.55,9.8375
"323",1986,"Chile","female","35-54 years",2.83,9.8375
"324",1986,"Chile","female","15-24 years",3,9.8375
"325",1986,"Colombia","female","15-24 years",3.77,25.0130833333333
"326",1986,"Colombia","female","35-54 years",1.06,25.0130833333333
"327",1986,"Colombia","female","75+ years",0,25.0130833333333
"328",1986,"Colombia","female","5-14 years",0.291,25.0130833333333
"329",1986,"Colombia","female","55-74 years",1.11,25.0130833333333
"330",1986,"Colombia","female","25-34 years",2.06,25.0130833333333
"331",1986,"Costa Rica","female","75+ years",0,26.0256666666667
"332",1986,"Costa Rica","female","5-14 years",0.338,26.0256666666667
"333",1986,"Costa Rica","female","35-54 years",0.903,26.0256666666667
"334",1986,"Costa Rica","female","25-34 years",0.912,26.0256666666667
"335",1986,"Costa Rica","female","55-74 years",1.01,26.0256666666667
"336",1986,"Costa Rica","female","15-24 years",2.48,26.0256666666667
"337",1986,"Ecuador","female","55-74 years",2.25,22.0715
"338",1986,"Ecuador","female","25-34 years",4.53,22.0715
"339",1986,"Ecuador","female","75+ years",7.94,22.0715
"340",1986,"Ecuador","female","35-54 years",1.68,22.0715
"341",1986,"Ecuador","female","15-24 years",8.01,22.0715
"342",1986,"Ecuador","female","5-14 years",0.462,22.0715
"343",1986,"France","female","25-34 years",10.1,12.8716666666667
"344",1986,"France","female","35-54 years",17,12.8716666666667
"345",1986,"France","female","55-74 years",22.9,12.8716666666667
"346",1986,"France","female","5-14 years",0.157,12.8716666666667
"347",1986,"France","female","75+ years",29.5,12.8716666666667
"348",1986,"France","female","15-24 years",4.57,12.8716666666667
"349",1986,"Greece","female","75+ years",5.18,15.1365
"350",1986,"Greece","female","55-74 years",3.24,15.1365
"351",1986,"Greece","female","25-34 years",1.46,15.1365
"352",1986,"Greece","female","35-54 years",2.12,15.1365
"353",1986,"Greece","female","5-14 years",0,15.1365
"354",1986,"Greece","female","15-24 years",1.8,15.1365
"355",1986,"Guatemala","female","15-24 years",2.11,23.397
"356",1986,"Guatemala","female","35-54 years",1.48,23.397
"357",1986,"Guatemala","female","25-34 years",1.44,23.397
"358",1986,"Guatemala","female","55-74 years",0,23.397
"359",1986,"Guatemala","female","5-14 years",0.169,23.397
"360",1986,"Guatemala","female","75+ years",0,23.397
"361",1986,"Iceland","female","35-54 years",11.8,1.545
"362",1986,"Iceland","female","25-34 years",5.1,1.545
"363",1986,"Iceland","female","75+ years",31.7,1.545
"364",1986,"Iceland","female","5-14 years",0,1.545
"365",1986,"Iceland","female","15-24 years",4.78,1.545
"366",1986,"Iceland","female","55-74 years",28.1,1.545
"367",1986,"Ireland","female","35-54 years",6.97,8.73333333333333
"368",1986,"Ireland","female","75+ years",1.15,8.73333333333333
"369",1986,"Ireland","female","5-14 years",0,8.73333333333333
"370",1986,"Ireland","female","25-34 years",5.2,8.73333333333333
"371",1986,"Ireland","female","15-24 years",3.29,8.73333333333333
"372",1986,"Ireland","female","55-74 years",6.59,8.73333333333333
"373",1986,"Israel","female","35-54 years",5.15,19.9981666666667
"374",1986,"Israel","female","55-74 years",11,19.9981666666667
"375",1986,"Israel","female","15-24 years",4.51,19.9981666666667
"376",1986,"Israel","female","25-34 years",3.7,19.9981666666667
"377",1986,"Israel","female","5-14 years",0,19.9981666666667
"378",1986,"Israel","female","75+ years",17.5,19.9981666666667
"379",1986,"Italy","female","25-34 years",2.42,13.1328333333333
"380",1986,"Italy","female","35-54 years",5.31,13.1328333333333
"381",1986,"Italy","female","15-24 years",1.55,13.1328333333333
"382",1986,"Italy","female","75+ years",12.1,13.1328333333333
"383",1986,"Italy","female","55-74 years",9.61,13.1328333333333
"384",1986,"Italy","female","5-14 years",0.0796,13.1328333333333
"385",1986,"Jamaica","female","15-24 years",0,26.3209166666667
"386",1986,"Jamaica","female","75+ years",0,26.3209166666667
"387",1986,"Jamaica","female","35-54 years",0,26.3209166666667
"388",1986,"Jamaica","female","55-74 years",0,26.3209166666667
"389",1986,"Jamaica","female","25-34 years",0,26.3209166666667
"390",1986,"Jamaica","female","5-14 years",0,26.3209166666667
"391",1986,"Japan","female","25-34 years",11.6,11.6914166666667
"392",1986,"Japan","female","35-54 years",15.3,11.6914166666667
"393",1986,"Japan","female","55-74 years",25.3,11.6914166666667
"394",1986,"Japan","female","15-24 years",7.96,11.6914166666667
"395",1986,"Japan","female","5-14 years",0.604,11.6914166666667
"396",1986,"Japan","female","75+ years",59.1,11.6914166666667
"397",1986,"Kuwait","female","75+ years",0,25.4425
"398",1986,"Kuwait","female","15-24 years",0,25.4425
"399",1986,"Kuwait","female","25-34 years",2.1,25.4425
"400",1986,"Kuwait","female","55-74 years",0,25.4425
"401",1986,"Kuwait","female","5-14 years",0,25.4425
"402",1986,"Kuwait","female","35-54 years",0.782,25.4425
"403",1986,"Luxembourg","female","75+ years",7.19,9.026
"404",1986,"Luxembourg","female","35-54 years",4.18,9.026
"405",1986,"Luxembourg","female","25-34 years",13.2,9.026
"406",1986,"Luxembourg","female","55-74 years",18.1,9.026
"407",1986,"Luxembourg","female","5-14 years",0,9.026
"408",1986,"Luxembourg","female","15-24 years",0,9.026
"409",1986,"Malta","female","15-24 years",0,18.7808333333333
"410",1986,"Malta","female","55-74 years",0,18.7808333333333
"411",1986,"Malta","female","5-14 years",0,18.7808333333333
"412",1986,"Malta","female","35-54 years",0,18.7808333333333
"413",1986,"Malta","female","25-34 years",3.61,18.7808333333333
"414",1986,"Malta","female","75+ years",0,18.7808333333333
"415",1986,"Mauritius","female","75+ years",0,23.688
"416",1986,"Mauritius","female","25-34 years",2.26,23.688
"417",1986,"Mauritius","female","55-74 years",0,23.688
"418",1986,"Mauritius","female","35-54 years",0,23.688
"419",1986,"Mauritius","female","15-24 years",5.74,23.688
"420",1986,"Mauritius","female","5-14 years",0,23.688
"421",1986,"Mexico","female","25-34 years",1.21,20.8506666666667
"422",1986,"Mexico","female","55-74 years",0.443,20.8506666666667
"423",1986,"Mexico","female","75+ years",0.694,20.8506666666667
"424",1986,"Mexico","female","35-54 years",0.817,20.8506666666667
"425",1986,"Mexico","female","15-24 years",1.39,20.8506666666667
"426",1986,"Mexico","female","5-14 years",0.138,20.8506666666667
"427",1986,"Netherlands","female","55-74 years",13.1,9.21508333333333
"428",1986,"Netherlands","female","15-24 years",3.59,9.21508333333333
"429",1986,"Netherlands","female","75+ years",13,9.21508333333333
"430",1986,"Netherlands","female","25-34 years",9.14,9.21508333333333
"431",1986,"Netherlands","female","5-14 years",0.108,9.21508333333333
"432",1986,"Netherlands","female","35-54 years",12.1,9.21508333333333
"433",1986,"New Zealand","female","35-54 years",8.29,10.94325
"434",1986,"New Zealand","female","55-74 years",10.4,10.94325
"435",1986,"New Zealand","female","5-14 years",0.753,10.94325
"436",1986,"New Zealand","female","25-34 years",8.01,10.94325
"437",1986,"New Zealand","female","75+ years",10.7,10.94325
"438",1986,"New Zealand","female","15-24 years",8.02,10.94325
"439",1986,"Norway","female","55-74 years",13,-0.0424166666666669
"440",1986,"Norway","female","5-14 years",0,-0.0424166666666669
"441",1986,"Norway","female","15-24 years",3.75,-0.0424166666666669
"442",1986,"Norway","female","25-34 years",4.94,-0.0424166666666669
"443",1986,"Norway","female","75+ years",5.76,-0.0424166666666669
"444",1986,"Norway","female","35-54 years",14,-0.0424166666666669
"445",1986,"Panama","female","15-24 years",3.43,26.6981666666667
"446",1986,"Panama","female","75+ years",6.1,26.6981666666667
"447",1986,"Panama","female","55-74 years",0,26.6981666666667
"448",1986,"Panama","female","35-54 years",1.61,26.6981666666667
"449",1986,"Panama","female","5-14 years",0.372,26.6981666666667
"450",1986,"Panama","female","25-34 years",1.22,26.6981666666667
"451",1986,"Paraguay","female","5-14 years",0,24.11475
"452",1986,"Paraguay","female","25-34 years",1.12,24.11475
"453",1986,"Paraguay","female","55-74 years",1.4,24.11475
"454",1986,"Paraguay","female","35-54 years",2.07,24.11475
"455",1986,"Paraguay","female","75+ years",0,24.11475
"456",1986,"Paraguay","female","15-24 years",3.24,24.11475
"457",1986,"Portugal","female","5-14 years",0.375,14.73
"458",1986,"Portugal","female","15-24 years",3.76,14.73
"459",1986,"Portugal","female","25-34 years",4.42,14.73
"460",1986,"Portugal","female","55-74 years",9.37,14.73
"461",1986,"Portugal","female","35-54 years",6.06,14.73
"462",1986,"Portugal","female","75+ years",12,14.73
"463",1986,"Puerto Rico","female","75+ years",6.8,25.6945833333333
